Serial	CustomerCode	CustomerName	Address1	Address2	Area	City	Pincode	State
186	CST00000186	SANTECH ENGINEERS PVT LTD	"#13/4,13th cross,11th main road,Malleshwaram,"		Area	BANGALORE	600008	KARNATAKA
187	CST00000187	SANTHI SOLUTION PVT LTD	"#76/3,30TH CROSS,TILAK NAGAR MAIN ROAD"		Area	BANGALORE	600008	KARNATAKA
188	CST00000188	SANTHOSH ELECTRONICS	"#122,Tavarekere,opp.Cashier Layout,"		Area	BANGALORE	600008	KARNATAKA
189	CST00000189	SATISH ENGINEERING COMPANY	"#B69,Peenya 3rd Stage,Peenya Industrial Estate,peenya"		Area	BANGALORE	600008	KARNATAKA
190	CST00000190	SHARAVAN ENGG.ENT.P.LTD	"MURAH GROUND FLOOR,#35,COX TOWN"		Area	BANGALORE	600008	KARNATAKA
191	CST00000191	SHRAVAN ENGG.ENT.P.LTD	"MURALI,GROUND FLOOR, NO:35,COX TOWN"		Area	BANGALORE	600008	KARNATAKA
192	CST00000192	Shrinidhi Enterprises	"Sri Gowri, # 3/4/440, near krishna mutt, kadri kamal."		Area	BANGALORE	600008	KARNATAKA
193	CST00000193	Shyamaraju & Co Pvt Ltd- DC	"No 11,A wING , Divyasree Chambers, O Shuagnessy Road "		Area	BANGALORE	600008	KARNATAKA
194	CST00000194	SKF	"electrnic city,phase-2"		Area	BANGALORE	600008	KARNATAKA
195	CST00000195	Skylite Constructions	"No.23, RI Keerthi Complex 3 rd Floor, 14th Main, 15th cross, Opp.BDA Complex, HSR Layout 4th Sector,"		Area	BANGALORE	600008	KARNATAKA
196	CST00000196	SLS Electricals	"No.609, MIG 3rd Phase 10th A main A sector"		Area	BANGALORE	600008	KARNATAKA
197	CST00000197	SLS ELECTRICALS	"#609, MIG 3rd Phase 10th A main A sector, "		Area	BANGALORE	600008	KARNATAKA
198	CST00000198	SNEHA ENTERPRISES	"733,13TH CROSS,7TH BLOCK,JAYANAGAR'"		Area	BANGALORE	600008	KARNATAKA
199	CST00000199	SOLIS VENTURES	Near Bangalore Central		Area	BANGALORE	600008	KARNATAKA
200	CST00000200	SOUL SPACE PROJECT LIMITED	"# 135,His Grace"""		Area	BANGALORE	600008	KARNATAKA
201	CST00000201	SOUTH INDIAN BANK	ANEKAL MAIN ROAD		Area	BANGALORE	600008	KARNATAKA
202	CST00000202	SOUTH INDIAN BANK 	BRIGADE ROAD		Area	BANGALORE	600008	KARNATAKA
203	CST00000203	SRI BALAJI REFRIGERATION	"#19,1ST FLOOR,BHANUMATHI COMPLEX,S.M ROAD,BEHIND CANARA BANK"		Area	BANGALORE	600008	KARNATAKA
204	CST00000204	SRI BHAVANI REFRIGERATION	"NO.2,Kenchappa Road,Frazer Town,"		Area	BANGALORE	600008	KARNATAKA
205	CST00000205	SSC POWER SYSTEM PVT LTD	"No:18, Dayanandha layout, near channasandra railway bridge, Ramamurthy nagar main road,"		Area	BANGALORE	600008	KARNATAKA
206	CST00000206	STAR CLASSIC AIRCON	"# 35,Nandidurga Layout,Jayamahal Extn,"		Area	BANGALORE	600008	KARNATAKA
207	CST00000207	SUBRAMANYA	"No.25, Mahalasa Nilaya, Krishnppa Garden, K.S. Town,"		Area	BANGALORE	600008	KARNATAKA
208	CST00000208	SUMADHURA CONSTRUCTIONS	"CKB Plaza, site no.43, 2nd floor, varthur main road, marathahalli,"		Area	BANGALORE	600008	KARNATAKA
209	CST00000209	Sumadhura infra con pvt ltd	"CKB Plaza,Site no.43,2nd floor,Varthur main road,Marathahalli."		Area	BANGALORE	600008	KARNATAKA
210	CST00000210	Suraj Mani Engineers Pvt.Ltd.	"No.432, 4th Cross, 2nd Block,H R B R Layout, Kalyan Nagar Post"		Area	BANGALORE	600008	KARNATAKA
211	CST00000211	SURETEX PROPHYLACTICS(INDIA)LIMITED	"PLOT NO.74TO91,KIADB INDL ESTATE,JIGANI 2ND PHASE,ANEKAL TALUK"		Area	BANGALORE	600008	KARNATAKA
212	CST00000212	TECH PARK	"1 st floor examination department, Banshankari"		Area	BANGALORE	600008	KARNATAKA
213	CST00000213	TECHNI COOL SOLUTION	"#31, 1 st floor, oil mill road, St.Thomas Town Post, "		Area	BANGALORE	600008	KARNATAKA
214	CST00000214	TESCO HINDUSTAN SERVICE CENTRE PVT.LTD	"DIVYASHREE TECHNO PARK,CKB COMPOUND,NEXT TO EPIP ZONE,KUNDANAHALLI VILLAGE,DODDANEKUNDE POST"		Area	BANGALORE	600008	KARNATAKA
215	CST00000215	TF AIR SYSTEMS PVT.LTD	"#55, 1st flr, Kenchappa road, Fraser town"		Area	BANGALORE	600008	KARNATAKA
216	CST00000216	The Conquer Enterprises	"#55, 15th cross, Eshvara layout, Indira nagar 2nd Stage"		Area	BANGALORE	600008	KARNATAKA
217	CST00000217	The Scientist-'c'	"SSPC, Hosur"		Area	BANGALORE	600008	KARNATAKA
218	CST00000218	TOYOTA KIRLOSKAR MOTOR PVT LTD	"Plot No.1, Bidadi Industrial Area, Bidadi"		Area	BANGALORE	600008	KARNATAKA
219	CST00000219	Trinity solutions	"# 10, Bens achar avenue, Banjara layout, horamavu agra, kalkere main road, banaswadi "		Area	BANGALORE	600008	KARNATAKA
220	CST00000220	UNIMECH SYSTEMS (Bangalore) PVT LTD	"#3788, 12Th A Main, 8th Cross, HAL 2nd Stage"		Area	BANGALORE	600008	KARNATAKA
221	CST00000221	Unitek Engineers Private Limited	"factory & Regd. Off. Plot No.235f, Bommasandra Industrial Area, Hosur Road, "		Area	BANGALORE	600008	KARNATAKA
222	CST00000222	UNIVERSAL AIRCON SYSTEM	ULSOOR		Area	BANGALORE	600008	KARNATAKA
223	CST00000223	Vaatsalya Health Care	"# 1, 5 th A Block, Opp Nova Medical, Kormangala"		Area	BANGALORE	600008	KARNATAKA
224	CST00000224	VAC DESIGN ENGINEERS PVT LTD	"#15,SUBRAMANYA NILAYAM,21ST MAIN,17TH COSS,J P NAGAR,5TH PHASE"		Area	BANGALORE	600008	KARNATAKA
225	CST00000225	Valtech	Bommanahalli		Area	BANGALORE	600008	KARNATAKA
226	CST00000226	VASHWANI ESTATE DEVELOPERS PVT LTD	"Vaswani Vistoria, 30- Victoria Road,"		Area	BANGALORE	600008	KARNATAKA
227	CST00000227	VAYUCON SYSTEMS	"#76, GF, Maruthi Mane, 4th Main,Hoysala Nagar, RamamurthyNagar,Dooravani Nagar Post"		Area	BANGALORE	600008	KARNATAKA
228	CST00000228	Vibgyor	"Survey no.9/2, Konadhasapura Village, Bidarahalli Hobli, Kadukodi Main Road, East Taluk,"		Area	BANGALORE	600008	KARNATAKA
229	CST00000229	VIBGYOR	"58/1,Thubarahalli,Marthahalli"		Area	BANGALORE	600008	KARNATAKA
230	CST00000230	VIBGYOR	" Survey No.45/1 & 112, Village-Vittasandra, Begur, Hobli Electronic City"		Area	BANGALORE	600008	KARNATAKA
231	CST00000231	VIBGYOR	BTM Layout		Area	BANGALORE	600008	KARNATAKA
232	CST00000232	VIBGYOR (banaswadi)	"#84/4,Horamavu Village,K.R.Puram,Hobli,Banaswadi"		Area	BANGALORE	600008	KARNATAKA
233	CST00000233	Vijaya Earith Movars & System Engineneers	"C/O Chife Manager,Cool Bhavan,RTRS Shanti Nagar, Raichr Distic"		Area	BANGALORE	600008	KARNATAKA
234	CST00000234	VIJAYA EARTH MOVERS&SYSTEM ENGINEERS	"#146,15TH A CROSS,2ND STAGE,2ND PHASE MAHALAKSHMIPURAM, "		Area	BANGALORE	600008	KARNATAKA
235	CST00000235	WEATHER STAR	"#40,S K Nilayam,opp Raddar,Egipura main road,Viveknagar"		Area	BANGALORE	600008	KARNATAKA
236	CST00000236	WIPRO GE HEALTH CARE	"NEAR HOPE FORM SIGNAL,WHITE FIELD BANGALORE"		Area	BANGALORE	600008	KARNATAKA
237	CST00000237	Zamil Air Condition Services	"# 561, Konappana Agrahra, Electronic City Post, Hosur Main Road, Bangalore-560 100"		Area	BANGALORE	600008	KARNATAKA
238	CST00000238	Zita Air-Conditioning & Refrigeration Co. PVT. LTD	"33/542, Ismall Towers, Edappally,Toll Junction, "		Area	BANGALORE	600008	KARNATAKA
